"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-03-26 15:15:00,355.754606667,124.401256667,39.076820000,33.213706667,40.735343333,40.763880000,20.898536667,32.192450000,28.754020000,28.339450000,22.177360000,26.147980000,26.525906667,16.929153333,124.401256667
2019-03-26 15:10:00,389.868836667,124.155480000,49.831546667,45.998476667,54.063150000,39.811813333,20.178280000,31.248266667,28.439280000,27.891756667,21.823243333,26.707776667,26.882596667,16.992650000,124.155480000
2019-03-26 15:05:00,387.983720000,124.759833333,54.764676667,51.706023333,59.825976667,38.819320000,18.526026667,29.568930000,26.627696667,26.023103333,20.022903333,23.933130000,23.964173333,14.201760000,124.759833333
2019-03-26 15:00:00,365.320590000,125.853500000,48.313280000,42.952770000,51.040873333,39.386360000,18.428186667,29.555506667,26.125070000,26.744910000,19.466410000,24.544020000,24.337006667,14.426196667,125.853500000
2019-03-26 14:55:00,361.393553333,126.707420000,47.209376667,40.504693333,48.599090000,39.060233333,17.921330000,29.597736667,27.015923333,27.662053333,20.223713333,25.883190000,23.914290000,13.801923333,126.707420000
2019-03-26 14:50:00,359.948530000,126.348230000,44.503503333,37.178963333,45.218486667,39.198246667,18.088166667,29.795203333,27.109563333,27.703103333,19.717166667,24.999050000,28.598020000,17.839056667,126.348230000
2019-03-26 14:45:00,299.536240000,125.642593333,26.859630000,14.461656667,25.080323333,38.038846667,16.768450000,28.454330000,26.734883333,27.323663333,19.091183333,26.531286667,30.762753333,19.429233333,125.642593333
2019-03-26 14:40:00,234.778883333,125.397253333,19.303753333,6.123883333,18.698643333,31.573556667,9.806046667,20.913950000,24.053256667,24.337283333,15.981853333,21.996796667,26.740573333,15.249286667,125.397253333
2019-03-26 14:35:00,229.880890000,126.883233333,18.622230000,6.148720000,18.467763333,30.812293333,9.824496667,20.627033333,24.530406667,24.684826667,16.036013333,22.308593333,23.915453333,13.903060000,126.883233333
2019-03-26 14:30:00,256.259286667,126.636450000,22.500880000,9.180226667,21.956896667,31.866010000,11.074380000,22.444950000,26.331160000,26.723986667,17.695040000,24.641773333,25.835873333,16.008110000,126.636450000
2019-03-26 14:25:00,283.162863333,127.408696667,25.399223333,14.409386667,25.744343333,35.525250000,16.210433333,29.856146667,28.451406667,15.374373333,16.120593333,26.864386667,28.093220000,21.114100000,127.408696667
2019-03-26 14:20:00,251.442176667,127.589803333,24.477666667,12.511090000,24.505323333,31.479866667,12.324030000,26.367520000,31.220306667,14.414890000,18.822120000,19.553050000,20.948736667,14.817576667,127.589803333
2019-03-26 14:15:00,248.733120000,127.074140000,23.933806667,11.963530000,23.821266667,29.683400000,10.376346667,24.130770000,31.894326667,15.006490000,19.202080000,20.583556667,22.345493333,15.792053333,127.074140000
2019-03-26 14:10:00,267.853620000,126.509010000,24.711280000,11.929816667,24.139666667,34.986830000,16.689980000,30.333500000,31.632096667,14.894746667,19.191440000,21.656193333,21.996433333,15.691636667,126.509010000
2019-03-26 14:05:00,282.214236667,126.782206667,26.768103333,13.437883333,25.505943333,35.124716667,16.634636667,30.297043333,31.745303333,14.845276667,19.313900000,24.055433333,23.676010000,20.809986667,126.782206667
2019-03-26 14:00:00,338.108863333,126.948996667,41.551110000,32.277933333,41.388240000,36.225046667,16.853020000,30.607173333,32.189383333,15.502900000,19.835933333,24.435016667,25.978823333,21.264283333,126.948996667
2019-03-26 13:55:00,330.960520000,126.820586667,42.652236667,35.393153333,43.226416667,36.694180000,16.713460000,30.585323333,32.748793333,15.259496667,20.782906667,20.241400000,21.356793333,15.306360000,126.820586667
2019-03-26 13:50:00,323.932746667,126.165843333,42.849340000,35.465996667,43.610583333,36.590376667,16.728180000,30.683663333,29.444443333,11.937936667,17.301096667,21.302576667,21.965280000,16.053273333,126.165843333
